title,description,genre
The Woman in Black,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.","Drama, Horror, Thriller"
The Son of Monte Cristo,"Rightful owner of the kingdom, the Duchess of Zona, is engaged in a power struggle with the evil General Gurko. Edmond, the son of Monte Cristo, dons many disguises to come to the aid of the Duchess.","Action, Adventure, Drama, Romance"
The American,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.","Crime, Drama, Thriller"
On the Line,A provocative and edgy radio host must play a dangerous game of cat and mouse with a mysterious caller who's kidnapped his family and is threatening to blow up the whole station.,"Thriller, Drama"
The Farewell,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,"Comedy, Drama"
The Bling Ring,"Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.","Drama, Crime"
Nocturnal Agony,"A highly successful upper middle class woman with a loving family has her seemingly “perfect” world turned upside down when the hidden secrets from her past suddenly resurface, forcing her and her beloved mother into a painful examination of their lives, their relationship with one another, and their faith in God",Drama
Army of Shadows,"Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.","War, History, Thriller"
"The Good, the Bad, the Weird","The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.","Action, Adventure, Comedy, Western"
Lamog,A family falls into turmoil as the son defies his abusive father in order to protect the people he loves.,"Thriller, Drama"
Thud Pilots,"This documentary describes the experience of F-105 Thunderchief ""Thud"" pilots and crew during the Vietnam War.",Documentary
20th Century Women,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",Drama
Mindcage,"Detectives Jake Doyle and Mary Kelly seek the help of an incarcerated serial killer named The Artist when a copycat killer strikes. While Mary searches for clues in The Artist's brilliant but twisted psyche, she and Jake are lured into a diabolical game of cat and mouse, racing against time to stay one step ahead of The Artist and his copycat.","Mystery, Thriller, Crime"
Space Sweepers,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.","Drama, Fantasy, Science Fiction"
9/11: Minute by Minute,"September 11th 2001, the day America was under siege. Thrust into defense against the deadliest disaster ever faced. The four coordinated attacks by nineteen individuals, driven by religious extremism, claimed the lives of thousands that day, exposing flaws in the defence of the mightiest nation on the globe. The chaos in the skies sent radio communications into meltdown. Follow the key aspects of the nation's response as the gravity of the situation unfolds before your very eyes. Through official FAA, Airline, Military and NYC Fire Department recordings, as well as archival footage and reenactments, retrace the critical moments that forced American society to change forever. This documentary will expose the frenzied communication that took place over the airwaves as flight attendants, aviation authorities and the president grappled with a nightmare. Join us as we observe and reflect on the darkest day in American history as we recount those moments minute by minute.",Documentary
Open Your Eyes,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.","Drama, Thriller, Science Fiction"
Edo Porn,"The world-famous woodblock artist Hokusai (1760-1849), a widower in need of a steady income, lives with his daughter Oei in the house of his friend Bakin.","Drama, History"
The Lair,"Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers — half-human, half-alien, and hungry for human flesh — are awakened.","Horror, Action"
Unboxed,"Laura Diaz is an up-and-coming influencer under pressure by a VIP sponsor to give her best performance for a Halloween live stream giveaway. As the stream starts with a series of trivia questions, the night takes a creepy turn when a mysterious user comments on Laura's personal life. As Laura continues to open gift boxes from her sponsors, she soon discovers that some of the boxes have grotesque gifts inside of them. The mysterious user then texts Laura and explains that she will have to play along with his own sick game of giveaway, or else there will be a deadly price to pay.",Horror
Cleaner,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.","Crime, Thriller, Mystery"
Around the World in 80 Days,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.","Action, Adventure, Comedy"
All Out: AJ Raval,VMX crush Dyessa Garcia takes fans through the sizzling hot journey of one of VMX’s original A-listers – AJ Raval going all out in her most unforgettable and daring scenes.,Documentary
Leprechaun,A demonic leprechaun terrorizes a group of young people whom he believes stole his gold.,"Horror, Comedy"
The Scorpion King 3: Battle for Redemption,"Since his triumphant rise to power in the original blockbuster ""The Scorpion King"", Mathayus' kingdom has fallen and he's lost his queen to plague. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew. Starring Ron Perlman (""Hellboy"") and Billy Zane (""Titanic""), and featuring 6-time WWE champion Dave Bautista and UFC star Kimbo Slice, ""The Scorpion King 3: Battle for Redemption"" takes ""The Mummy"" phenomenon to an all-new level of epic action and non-stop adventure.","Action, Adventure, Fantasy, Drama"
Batman and Superman: Battle of the Super Sons,"After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.","Animation, Action, Science Fiction"
Ocean Waves,"At Kichijōji Station, Tokyo, Taku Morisaki glimpses a familiar woman on the platform opposite boarding a train. Later, her photo falls from a shelf as he exits his apartment before flying to Kōchi Prefecture. Picking it up, he looks at it briefly before leaving. As the aeroplane takes off, he narrates the events that brought her into his life...","Animation, Drama, Romance"
American Kamasutra,A young woman finds herself involved in a dangerous love triangle when she gets involved with the writer of a popular steamy novel.,"Drama, Romance"
Lock Up,"Frank Leone is nearing the end of his prison term for a relatively minor crime. Just before he is paroled, however, Warden Drumgoole takes charge. Drumgoole was assigned to a hell-hole prison after his administration was publicly humiliated by Leone, and has now arrived on the scene to ensure that Leone never sees the light of day.","Action, Crime, Drama, Thriller"
Pabrik Gula,"A group of young men and women who work as seasonal workers in a sugar factory face terror from the kingdom of demons where the factory is located. They must find out the cause of the demons' anger, before the terror ends their lives.","Horror, Thriller"
The Pirates: The Last Royal Treasure,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.","Action, Adventure, Comedy, Fantasy"
Contraband,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago—smuggling—to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.","Thriller, Action, Drama, Crime"
For Izzy,The lives of a recovering addict and her single mother change forever when they move in next door to a widowed father and his adult daughter with autism.,Drama
Monster Island,"Mutant radioactive bugs attack VJs, Carmen Electra and an island full of MTV contest winners in this tongue-in-cheek tribute to B-movies, monster flicks and even MTV. MTV Original Movies presents Monster Island, a flick with old school effects mixed with hot new celebrities. There’s action, romance and big bugs--now is that something you really want to miss?","Horror, Comedy, Adventure, TV Movie"
Man on a Ledge,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.","Action, Thriller, Crime"
David Attenborough: A Life on Our Planet,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.","Documentary, Drama"
Dragon Ball Z: The Return of Cooler,Cooler has resurrected himself as a robot and is enslaving the people of New Namek. Goku and the gang must help.,"Action, Animation, Science Fiction"
Monster Island,"Mutant radioactive bugs attack VJs, Carmen Electra and an island full of MTV contest winners in this tongue-in-cheek tribute to B-movies, monster flicks and even MTV. MTV Original Movies presents Monster Island, a flick with old school effects mixed with hot new celebrities. There’s action, romance and big bugs--now is that something you really want to miss?","Horror, Comedy, Adventure, TV Movie"
Man on a Ledge,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.","Action, Thriller, Crime"
David Attenborough: A Life on Our Planet,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.","Documentary, Drama"
Dragon Ball Z: The Return of Cooler,Cooler has resurrected himself as a robot and is enslaving the people of New Namek. Goku and the gang must help.,"Action, Animation, Science Fiction"
Warlord,"Revolt is on the horizon in the ancient city of Lloris, ruled with an iron fist by the merciless Sheriff and The Brute. Believing their mystical powers could help free the oppressed citizens from tyranny, a young human seeks out the aid of the reclusive elves and their legendary Warlord. However, with both sides harbouring secrets, and hiding their true motives, this tentative alliance between the humans and elves may bring about the downfall of them all.","Fantasy, Action, Adventure"
Speed 2: Cruise Control,"A disgruntled former employee hijacks the Seabourn Legend cruise liner. Set on a fixed course, without any means of communication and at the mercy of the hijacker, it's up to the one cop on vacation, and his soon to be fiancé (hopefully) Annie, to regain control of it before it kills the passengers and causes an environmental disaster. Insurmountable and daunting tasks awaits them on their  perilous journey throughout the ship trying to fend off the hijacker and save the passengers.","Action, Adventure, Thriller, Romance, Drama"
Samson and Delilah,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret.","Adventure, Romance, Drama"
Luckiest Girl Alive,A successful woman in New York City finds her life upended when she is forced to confront a dark truth that threatens to unravel her meticulously crafted life.,"Drama, Thriller, Mystery"
DeepStar Six,The crew of an experimental underwater nuclear base are forced to struggle for their lives when their explorations disturb a creature who threatens to destroy their base.,"Action, Horror, Thriller, Science Fiction"
Open Season 2,"After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.","Adventure, Animation, Comedy, Family"
World Trade Center,"Two police officers struggle to survive when they become trapped beneath the rubble of the World Trade Center on September 11, 2001.","Drama, History, Thriller"
The Many Adventures of Winnie the Pooh,"Whether we’re young or forever young at heart, the Hundred Acre Wood calls to that place in each of us that still believes in magic. Join pals Pooh, Piglet, Kanga, Roo, Owl, Rabbit, Tigger and Christopher Robin as they enjoy their days together and sing their way through adventures.","Animation, Family, Adventure"
The Gift,Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin.,"Thriller, Mystery, Drama"
Ip Man 3,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.","Action, Drama, History"
Mazel Tov,"When Dario Roitman returns from the U.S. to Argentina for a family wedding and Bat Mitzvah, he anticipates the usual family drama. But his carefully laid plans for a family reunion are suddenly upended when he learns, just hours before his flight, that his father has passed away.  As the Roitmans gather for the funeral, old wounds resurface and longstanding tensions reach a boiling point. Despite the emotional turmoil, Dario remains determined to celebrate both the wedding and Bat Mitzvah, even if it means challenging tradition and risking further discord. Navigating grief, sibling rivalry, and delightfully eccentric grudges, the Roitmans reveal the messy yet enduring love of family.","Drama, Comedy"
Padmaavat,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.","Drama, History, Romance"
Flashdance,"Alex Owens, a young woman juggling between two odd jobs, aspires to become a successful ballet dancer. Nick, who is her boss and lover, supports and encourages her to fulfil her dream.","Drama, Romance"
Firebird,"At the height of the Cold War, a troubled soldier forms a forbidden love triangle with a daring fighter pilot and his female comrade amid the dangerous surroundings of a Soviet Air Force Base.","Drama, Romance, War"
Just Friends,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer.","Comedy, Romance"
Crime Story,"A special agent is assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that simple.","Action, Crime, Thriller, Drama"
Beware the Lake,A dead high schooler rises from her watery grave to take revenge on the jealous cheerleaders who drugged and murdered her.,Horror
Hanzo the Razor: Sword of Justice,"Fearless Edo-period police inspector Hanzo Itami, nicknamed The Razor, has developed his own unique way of extracting information for his inquiries. His first adventure sees him investigating his superior officer's mistress, whom he suspects of having ties with a reputed criminal on the loose.","Action, Drama"
Shaitaan,"Kabir and his family's fun weekend retreat takes terrifying turn when an intruder takes over the control of the  body of his teenage daughter, putting her at the mercy of his increasingly sinister orders.","Thriller, Horror"
The Machine,"Bert Kreischer faces a familial crisis and the arrival of his estranged father when the ghost of his booze-soaked past arrives: a murderous mobster hellbent on kidnapping Bert back to the motherland to atone for his crimes. Together, he and his father must retrace the steps of his younger self in the midst of a war between a sociopathic crime family while they attempt to find common ground.","Comedy, Action, Crime"
The Courier,"After shrewdly seizing his chance to join a money-laundering scheme, a modest valet dives into a world of fast cash, fast cars — and an inevitable crash.","Thriller, Crime"
The Last Letter from Your Lover,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,"Drama, Romance"
Monkey King: Hero Is Back,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.","Fantasy, Animation, Comedy"
Grimcutty,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.,Horror
Halloween III: Season of the Witch,"A terrified toy salesman is mysteriously attacked, and at the hospital, babbles and clutches the year's most popular Halloween costume, an eerie pumpkin mask. Suddenly, Doctor Daniel Challis finds himself thrust into a terrifying nightmare.","Horror, Science Fiction"
Sanctum,"Master diver Frank McGuire has explored the South Pacific's Esa-ala Caves for months.  But when his exit is cut off in a flash flood, Frank's team—including 17-year-old son Josh and financier Carl Hurley are forced to radically alter plans.  With dwindling supplies, the crew must navigate an underwater labyrinth to make it out.","Action, Thriller"
Hitozuma ichiban! Futarikiri Tonight,"Midsummer, a housewife in a rural town, was asked by a passing movie director, Wada, to ""become an actress!"" And made a big decision to move to Tokyo. On the other hand, Wada, who had forgotten about such a thing, read the script written by the unsold scriptwriter Ippei and supported it. Ippei is depressed. It was midsummer who visited there, but Wada, who was not in the corner of her memory, was not so happy, and midsummer who lost her place was living together for a while with Ippei and her acting special training and script cooperation of love affairs. To start. The two of them try to make Wada blow a bubble, but Ippei gets out of touch with the sex appeal of midsummer.","Drama, Romance"
Weird Science,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.","Comedy, Fantasy, Science Fiction"
Enter the Void,"This psychedelic tour of life after death is seen entirely from the point of view of Oscar, a young American drug dealer and addict living in Tokyo with his prostitute sister, Linda. When Oscar is killed by police during a bust gone bad, his spirit journeys from the past -- where he sees his parents before their deaths -- to the present -- where he witnesses his own autopsy -- and then to the future, where he looks out for his sister from beyond the grave.","Fantasy, Drama"
Do's and Don'ts of Dating,Ladies' man Scott Hall thinks he has the dating game figured out. He has dating rules that he follows until he meets his match. Will she throw him off his game?,
Mobile Suit Gundam Thunderbolt: December Sky,"During the One Year War of U.C. 0079, the Earth Federation and Principality of Zeon engage in a fierce battle at the ""Thunderbolt Sector"", a shoal zone in the former Colony Side 4 ""Moore"". After successfully infiltrating Zeon's sniper field, ace Federation pilot and jazz enthusiast Io Fleming is given control of the latest Gundam prototype.","Action, Animation, Drama, Science Fiction, War"
King of Killers,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.","Action, Thriller"
Wild Tales,"Injustice and the demands of the world can cause stress for many people. Some of them, however, explode. This includes a waitress serving a grouchy loan shark, an altercation between two motorists, an ill-fated wedding reception, and a wealthy businessman who tries to buy his family out of trouble.","Drama, Thriller, Comedy"
Joint Security Area,"Two North Korean soldiers are killed in the border area between North and South Korea, prompting an investigation by a neutral body. The sergeant is the shooter, but the lead investigator, a Swiss-Korean woman, receives differing accounts from the two sides.","War, Drama, Thriller, Mystery, Action"
Hot Frosty,"When a young widow's magic scarf brings a dashing snowman to life, can he help her rediscover romance, laughter and holiday cheer before he melts away?","Romance, Comedy"
Free Birds,Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history—and get turkey off the holiday menu for good.,"Animation, Comedy, Family"
Hot Frosty,"When a young widow's magic scarf brings a dashing snowman to life, can he help her rediscover romance, laughter and holiday cheer before he melts away?","Romance, Comedy"
Free Birds,Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history—and get turkey off the holiday menu for good.,"Animation, Comedy, Family"
Zorba the Greek,An uptight English writer traveling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,Drama
The Testament of Sister New Devil: Departures,"The first movie based on the TV Series The Testament of Sister New Devil, takes place right after the season 2 final.","Animation, Action, Romance, Fantasy"
Death at a Funeral,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",Comedy
Elephant,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,"Crime, Drama"
Kiss of the Dragon,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.","Action, Crime, Thriller"
Barbie and Stacie to the Rescue,"When the Roberts family heads to Wisconsin for a hot air balloon festival, Stacie finds herself caught in between – too young for the adult activities and too old to play with the littles. But when Barbie and Skipper have a mishap, Stacie has the right skills to save the day!","Animation, Family"
Say Anything...,"Lloyd, an eternal optimist, seeks to capture the heart of Diane, an unattainable high school beauty and straight-A student. He surprises just about everyone-including himself-when she returns the sentiment. But Diane's over-possessive, divorced Dad disapproves and it's going to take more than just the power of love to conquer all.","Romance, Comedy, Drama"
Doomsday,"The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.","Action, Thriller, Science Fiction"
Why Did I Get Married Too?,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.,"Comedy, Romance"
Deliver Us from Evil,"When a frightening wave of violence sweeps through New York City, troubled cop Sarchie fails to find a rational explanation for the bizarre crimes. However, his eyes are opened to a frightening alternate reality when renegade Jesuit priest Mendoza convinces him that demonic possession may be to blame for the gruesome murders. Together, they wage a valiant supernatural struggle to rid the city of an otherworldly evil.","Thriller, Crime, Horror"
Erasmus,Montse just wanted to make a documentary about partying at the Barcelona night clubs. But what begins as a fun evening out turns into hours of unending terror as Montse's video cameras capture a mysterious fiend killing off her friends one by one.,"Crime, Horror, Thriller"
Shanghai Noon,"Chon Wang, a clumsy imperial guard, trails Princess Pei Pei when she's kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.","Adventure, Action, Comedy, Western"
Sadomania,"Soon after newlyweds Olga and Michel set foot on the grounds of a notorious women's prison, they're arrested by topless guards and ushered behind bars where the warden  quickly dismisses Michel but demands that Olga do a little time.","Action, Horror"
Nowhere Special,"John, a 35-year-old window cleaner, has dedicated his life to bringing up his 4-year-old son, Michael, after the child's mother left them soon after giving birth. When John is given only a few months left to live, he attempts to find a new, perfect family for Michael, determined to shield him from the terrible reality of the situation.",Drama
Empire of Passion,"In a small Japanese village at the end of the 19th century, a rickshaw driver's wife takes on a much younger lover and the two conspire to murder him.","Drama, Romance, Horror"
Shark Night 3D,A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to fresh-water shark attacks.,"Thriller, Horror"
Let's Make Love 3,"Wealthy guy from Australia travels to his birthplace in Bosnia so he'd make a giant wedding with Yugoslavia's biggest star Lepa Brena. Although it's a Brena doppelganger, media rush to publish the story so Lepa Brena must run across the country to stop the false wedding and tell everyone the true.","Music, Comedy"
Step Up Revolution,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.","Music, Drama, Romance"
Flying Swords of Dragon Gate,"Three years after the infamous Dragon Inn was burnt down in the desert when its innkeeper Jade vanished. A new gang of marauders had taken over - innkeepers by day and treasure hunters by night. The inn is the rumoured location of a lost city buried under the desert, and its hidden treasure would only be revealed by a gigantic storm every 60 years. The gang used the inn as a front to locate the lost treasure.","Action, Adventure, Drama"
In the Heart of the Machine,"Heat, iron, dust and the smell of oil. A typical workday of maximum security inmates will prove to be fateful for all of them. They find something extraordinary inside one of the machines, and an unexpected wave of compassion makes the prisoners take hostages and block the entrance to the workshop and risk their lives, because sometimes the desire to be human is stronger than the survival instinct.","Drama, Thriller"
The Adventures of Baron Munchausen,An account of Baron Munchausen's supposed travels and fantastical experiences with his band of misfits.,"Fantasy, Adventure, Comedy"
The Hidden Face,A Spanish orchestra conductor deals with the mysterious disappearance of his girlfriend.,"Thriller, Mystery"
The Edge of Seventeen,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.","Comedy, Drama"
The Last Stop in Yuma County,"While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune.","Crime, Thriller, Drama"
Night and Fog,Filmmaker Alain Resnais documents the atrocities behind the walls of Hitler's concentration camps.,"Documentary, History"
Justice League: Doom,"An adaptation of Mark Waid's ""Tower of Babel"" story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.","Action, Animation, Science Fiction, Fantasy"
Causeway,"A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home in New Orleans. When she meets local mechanic James, the pair begin to forge an unexpected bond.",Drama
Across the Universe,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.","Drama, Romance, Fantasy"
Timecop,"In 2004, an officer for a security agency that regulates time travel must fend for his life against a shady politician who has a tie to his past.","Thriller, Science Fiction, Action, Crime"
Mr. Crocket,"A single mother thinks she's found the key to calming her child down – a VHS copy of a strange children's program named Mr. Crocket's World. However, a darker, bloodier secret waits to invade their home from inside the tape.",Horror
House of Pleasures,"The dawn of the 20th century: L’Apollonide, a luxurious and traditional brothel in Paris, is living its last days. In this closed world, where some men fall in love and others become viciously harmful, the women share their secrets, their fears, their joys and their pains.",Drama
Dead Talents Society,"A sheepish rookie ghost must scare the living or risk vanishing forever. With help from a once-lauded mentor, she works to master the art of haunting.","Horror, Comedy"
Tender Cousins,Teenage Julien loves his teenage cousin Julia among flowers in summer of '39 France.,"Drama, Romance"
The Book of Clarence,"Streetwise but down-on-his-luck, Clarence is struggling to find a better life for his family, while fighting to free himself of debt. Captivated by the power and glory of the rising Messiah and His apostles, he risks everything to carve his own path to a divine life, and ultimately discovers that the redemptive power of belief may be his only way out.","Adventure, Comedy, Drama"
Darkest Hour,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler or fight on knowing that it could mean the end of the British Empire.","Drama, History"
The Silence,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.","Horror, Drama, Thriller, Fantasy"
XX: Beautiful Weapon,"A blind female assassin lives alone in a remote house; her superiors occasionally send her ""clients"" / targets that she shoots right after having sex with them in her completely darkened bedroom.","Action, Drama, Crime, Thriller"
Candyman,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","Drama, Horror, Thriller"
The Silence,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.","Horror, Drama, Thriller, Fantasy"
XX: Beautiful Weapon,"A blind female assassin lives alone in a remote house; her superiors occasionally send her ""clients"" / targets that she shoots right after having sex with them in her completely darkened bedroom.","Action, Drama, Crime, Thriller"
Candyman,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","Drama, Horror, Thriller"
Rodan,"Mining engineer Shigeru investigates the disappearance and death of his fellow coworkers when prehistoric nymphs are discovered emerging from the mines. After an attack on the local village, Shigeru heads deeper into the mines only to make a more horrifying discovery in the form a prehistoric flying creature. Soon a second monster appears as the two converge in Fukuoka.","Horror, Science Fiction"
Dangerous Liaisons,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.","Drama, Romance"
Restart the Earth,"When a drug to replicate plant cells creates a sentient form of flower, the planet is over taken by flora and humankind is depleted. A Chinese task force, a widowed father and his young daughter fight to survive in a mission to inject an antidote to the core of the plants to reverse their growth.","Science Fiction, Horror, Action"
The Stepford Wives,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town.","Comedy, Science Fiction, Horror"
The Mighty Ducks,"After reckless young lawyer Gordon Bombay gets arrested for drunk driving, he must coach a kids hockey team for his community service. Gordon has experience on the ice, but isn't eager to return to hockey, a point hit home by his tense dealings with his own former coach, Jack Reilly. The reluctant Gordon eventually grows to appreciate his team, which includes promising young Charlie Conway, and leads them to take on Reilly's tough players.","Comedy, Family, Drama, Action"
Borbaad,"After a heartbreak by Nitu, Ariyan Mirza seeks revenge, guided by his father Adib Mirza's wisdom. Their story transforms from romance to violence, culminating in courtroom confrontations over justice.","Action, Romance"
Zola,"A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.","Comedy, Crime"
All That Jazz,"Joe Gideon is at the top of the heap, one of the most successful directors and choreographers in musical theater. But he can feel his world slowly collapsing around him - his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",Drama
The Goldfinch,"A boy in New York is taken in by a wealthy family after his mother is killed in a bombing at the Metropolitan Museum of Art. In a rush of panic, he steals 'The Goldfinch', a painting that eventually draws him into a world of crime.",Drama
